course_id,course_name,institution,institution_id,county,ownership,level,cluster,min_grade,open_entry,duration_months,tuition_kes,fee_basis,verification_note
c466,Artisan Certificate in Electrical Wireman,Baringo Technical College,baringo_tech,Baringo,public,artisan,maker,,yes,12,67189,derived,"Programme named in Baringo Technical College's published artisan course list. The college states that entry to the artisan level is open on a KCPE certificate alone, so no KCSE mean grade is recorded rather than a grade being inferred - a learner with any KCSE result, or none, meets the published bar. Artisan courses are stated to run one year. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c464,Artisan Certificate in Garment Making,Baringo Technical College,baringo_tech,Baringo,public,artisan,creator,,yes,12,67189,derived,"Programme named in Baringo Technical College's published artisan course list. The college states that entry to the artisan level is open on a KCPE certificate alone, so no KCSE mean grade is recorded rather than a grade being inferred - a learner with any KCSE result, or none, meets the published bar. Artisan courses are stated to run one year. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c462,Artisan Certificate in Masonry,Baringo Technical College,baringo_tech,Baringo,public,artisan,maker,,yes,12,67189,derived,"Programme named in Baringo Technical College's published artisan course list. The college states that entry to the artisan level is open on a KCPE certificate alone, so no KCSE mean grade is recorded rather than a grade being inferred - a learner with any KCSE result, or none, meets the published bar. Artisan courses are stated to run one year. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c463,Artisan Certificate in Motor Vehicle Mechanics,Baringo Technical College,baringo_tech,Baringo,public,artisan,maker,,yes,12,67189,derived,"Programme named in Baringo Technical College's published artisan course list. The college states that entry to the artisan level is open on a KCPE certificate alone, so no KCSE mean grade is recorded rather than a grade being inferred - a learner with any KCSE result, or none, meets the published bar. Artisan courses are stated to run one year. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c461,Artisan Certificate in Plumbing,Baringo Technical College,baringo_tech,Baringo,public,artisan,maker,,yes,12,67189,derived,"Programme named in Baringo Technical College's published artisan course list. The college states that entry to the artisan level is open on a KCPE certificate alone, so no KCSE mean grade is recorded rather than a grade being inferred - a learner with any KCSE result, or none, meets the published bar. Artisan courses are stated to run one year. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c465,Artisan Certificate in Welding and Fabrication,Baringo Technical College,baringo_tech,Baringo,public,artisan,maker,,yes,12,67189,derived,"Programme named in Baringo Technical College's published artisan course list. The college states that entry to the artisan level is open on a KCPE certificate alone, so no KCSE mean grade is recorded rather than a grade being inferred - a learner with any KCSE result, or none, meets the published bar. Artisan courses are stated to run one year. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c099,Certificate in Community Health Assistant,Kenya Medical Training College (KMTC) — Kabarnet Campus,kmtc_baringo,Baringo,public,certificate,carer,C-,no,24,160200,derived,"KMTC publishes one national fee structure across all campuses, so this figure does not depend on which campus you attend: Ksh 82,200 in Year 1 and Ksh 78,000 in each subsequent year for regular Kenyan students, 2025/26 structure (kmtc.ac.ke, cross-reported by Tuko, EduGuide and Education News Hub, August 2026). Totals here are that schedule multiplied out by course length. Tuition only — accommodation, meals and skills-lab charges are extra and vary by campus. A non-refundable Ksh 1,500 application fee applies. Confirm with the campus before paying. Entry was previously recorded here as a D+ mean grade. That was wrong, and the error is worth naming: D+ is the BIOLOGY SUBJECT requirement for this award, not the mean grade, and it had been written into the mean-grade field. KMTC publishes a minimum KCSE mean grade of C- for every certificate programme, with the cluster-subject requirement on top - for this course a D+ in Biology or Biological Sciences and a D in one of Mathematics, Chemistry, Physics or Physical Sciences. So the C- is needed overall AND the subject grades on top. The duration and the fee moved with it: the certificate runs two years rather than one, so the national schedule multiplies out to Ksh 160,200 instead of Ksh 82,200."
c098,Diploma in Kenya Registered Community Health Nursing (KRCHN),Kenya Medical Training College (KMTC) — Kabarnet Campus,kmtc_baringo,Baringo,public,diploma,carer,C+,no,36,238200,derived,"KMTC publishes one national fee structure across all campuses, so this figure does not depend on which campus you attend: Ksh 82,200 in Year 1 and Ksh 78,000 in each subsequent year for regular Kenyan students, 2025/26 structure (kmtc.ac.ke, cross-reported by Tuko, EduGuide and Education News Hub, August 2026). Totals here are that schedule multiplied out by course length. Tuition only — accommodation, meals and skills-lab charges are extra and vary by campus. A non-refundable Ksh 1,500 application fee applies. Confirm with the campus before paying."
c109,Certificate in Community Health Assistant,Kenya Medical Training College (KMTC) — Bomet Campus,kmtc_bomet,Bomet,public,certificate,carer,C-,no,24,160200,derived,"KMTC publishes one national fee structure across all campuses, so this figure does not depend on which campus you attend: Ksh 82,200 in Year 1 and Ksh 78,000 in each subsequent year for regular Kenyan students, 2025/26 structure (kmtc.ac.ke, cross-reported by Tuko, EduGuide and Education News Hub, August 2026). Totals here are that schedule multiplied out by course length. Tuition only — accommodation, meals and skills-lab charges are extra and vary by campus. A non-refundable Ksh 1,500 application fee applies. Confirm with the campus before paying. Entry was previously recorded here as a D+ mean grade. That was wrong, and the error is worth naming: D+ is the BIOLOGY SUBJECT requirement for this award, not the mean grade, and it had been written into the mean-grade field. KMTC publishes a minimum KCSE mean grade of C- for every certificate programme, with the cluster-subject requirement on top - for this course a D+ in Biology or Biological Sciences and a D in one of Mathematics, Chemistry, Physics or Physical Sciences. So the C- is needed overall AND the subject grades on top. The duration and the fee moved with it: the certificate runs two years rather than one, so the national schedule multiplies out to Ksh 160,200 instead of Ksh 82,200."
c108,Diploma in Kenya Registered Community Health Nursing (KRCHN),Kenya Medical Training College (KMTC) — Bomet Campus,kmtc_bomet,Bomet,public,diploma,carer,C+,no,36,238200,derived,"KMTC publishes one national fee structure across all campuses, so this figure does not depend on which campus you attend: Ksh 82,200 in Year 1 and Ksh 78,000 in each subsequent year for regular Kenyan students, 2025/26 structure (kmtc.ac.ke, cross-reported by Tuko, EduGuide and Education News Hub, August 2026). Totals here are that schedule multiplied out by course length. Tuition only — accommodation, meals and skills-lab charges are extra and vary by campus. A non-refundable Ksh 1,500 application fee applies. Confirm with the campus before paying."
c489,Artisan Certificate in Electrical Installation,Konoin Technical Training Institute,konoin_tti,Bomet,public,artisan,maker,,yes,12,67189,derived,"Konoin Technical Training Institute is a public TVET institution in Konoin Sub-County, Bomet County, registered and accredited by TVETA under the TVET Act No. 29 of 2013. The institute publishes its entry ladder as ""C- and above for all Diploma Courses; D plain and above for Certificate; other course categories are open"" - so artisan is stated as open entry, which is why no minimum grade is recorded here. Programme named in the institute's course listing, which reports 55 programmes for the 2025/2026 cycle; only the courses a source actually names are listed, so Konoin runs more than appears here. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026), not quoted by the institute for this course - confirm with the registrar."
c488,Artisan in Fashion Design and Garment Making,Konoin Technical Training Institute,konoin_tti,Bomet,public,artisan,creator,,yes,12,67189,derived,"Konoin Technical Training Institute is a public TVET institution in Konoin Sub-County, Bomet County, registered and accredited by TVETA under the TVET Act No. 29 of 2013. The institute publishes its entry ladder as ""C- and above for all Diploma Courses; D plain and above for Certificate; other course categories are open"" - so artisan is stated as open entry, which is why no minimum grade is recorded here. Programme named in the institute's course listing, which reports 55 programmes for the 2025/2026 cycle; only the courses a source actually names are listed, so Konoin runs more than appears here. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026), not quoted by the institute for this course - confirm with the registrar."
c490,Certificate in Electrical Installation,Konoin Technical Training Institute,konoin_tti,Bomet,public,certificate,maker,D,no,24,67189,derived,"Konoin Technical Training Institute publishes its entry ladder as ""C- and above for all Diploma Courses; D plain and above for Certificate; other course categories are open"", and separately states that an artisan certificate is accepted as an alternative entry qualification for certificate courses - so a learner below D plain can still reach this through the artisan tier. Programme named in the institute's course listing. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026), not quoted by the institute for this course - confirm with the registrar."
c493,Diploma in Community Development and Social Work,Konoin Technical Training Institute,konoin_tti,Bomet,public,diploma,people,C-,no,36,67189,derived,"Konoin Technical Training Institute publishes its entry ladder as ""C- and above for all Diploma Courses; D plain and above for Certificate; other course categories are open"". Programme named in the institute's course listing, which reports 55 programmes for the 2025/2026 cycle. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026), not quoted by the institute for this course - confirm with the registrar."
c491,Diploma in Electrical and Electronics Engineering,Konoin Technical Training Institute,konoin_tti,Bomet,public,diploma,maker,C-,no,36,67189,derived,"Konoin Technical Training Institute publishes its entry ladder as ""C- and above for all Diploma Courses; D plain and above for Certificate; other course categories are open"". Programme named in the institute's course listing, which reports 55 programmes for the 2025/2026 cycle. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026), not quoted by the institute for this course - confirm with the registrar."
c492,Diploma in Fashion and Design,Konoin Technical Training Institute,konoin_tti,Bomet,public,diploma,creator,C-,no,36,67189,derived,"Konoin Technical Training Institute publishes its entry ladder as ""C- and above for all Diploma Courses; D plain and above for Certificate; other course categories are open"". Programme named in the institute's course listing, which reports 55 programmes for the 2025/2026 cycle. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026), not quoted by the institute for this course - confirm with the registrar."
c486,Artisan in Automotive Engineering,Bungoma National Polytechnic,bungoma_poly,Bungoma,public,artisan,maker,E,no,12,67189,derived,"Programme named in Bungoma National Polytechnic's published course list, where the Building and Civil Engineering department is stated to run diploma, craft and artisan levels. The polytechnic publishes the minimum for Level 4 (artisan) as an E grade, so E is recorded from the institution's own statement rather than inferred. The polytechnic runs more artisan programmes than the one listed here; only the programme a reachable source actually names is recorded. Fee derived from the government's consolidated annual public-TVET fee of Ksh 67,189 (effective May 2026). Artisan fees vary more than diploma fees and published per-institution figures conflict, so treat this as an order of magnitude and confirm with the registrar."
c125,Certificate in Community Health Assistant,Kenya Medical Training College (KMTC) — Bungoma Campus,kmtc_bungoma,Bungoma,public,certificate,carer,C-,no,24,160200,derived,"KMTC publishes one national fee structure across all campuses, so this figure does not depend on which campus you attend: Ksh 82,200 in Year 1 and Ksh 78,000 in each subsequent year for regular Kenyan students, 2025/26 structure (kmtc.ac.ke, cross-reported by Tuko, EduGuide and Education News Hub, August 2026). Totals here are that schedule multiplied out by course length. Tuition only — accommodation, meals and skills-lab charges are extra and vary by campus. A non-refundable Ksh 1,500 application fee applies. Confirm with the campus before paying. Entry was previously recorded here as a D+ mean grade. That was wrong, and the error is worth naming: D+ is the BIOLOGY SUBJECT requirement for this award, not the mean grade, and it had been written into the mean-grade field. KMTC publishes a minimum KCSE mean grade of C- for every certificate programme, with the cluster-subject requirement on top - for this course a D+ in Biology or Biological Sciences and a D in one of Mathematics, Chemistry, Physics or Physical Sciences. So the C- is needed overall AND the subject grades on top. The duration and the fee moved with it: the certificate runs two years rather than one, so the national schedule multiplies out to Ksh 160,200 instead of Ksh 82,200."
